	raised	ROI_ATH	catg	vc	mm	cap_controlled	dao_approve	id	launch_date	platform	total_supply	fear_greed_val	month
crypto-prophecies	$165,000	11x	Gaming	 Moonwhale 		0.0	0.0	the-crypto-prophecies	30/04/21	ethereum	245724066.0	51	04
smoothy-finance	$195,000	7x	DeFi	 Defiance 		0.0	1.0	smoothy	27/04/21	ethereum	100000000.0	50	04
mochi	$95,000	10x	Blockchain Service	 Magnus Capital 	 Darkpool 	0.0	0.0	mochi-market	25/04/21	ethereum	100000000.0	31	04
hord	$145,000	72x	DeFi	 DcentraLab 	 Kairon Labs 	0.0	0.0	hord	23/04/21	ethereum	320000000.0	55	04
showcase	$195,000	5x	Blockchain Service	 Blocktower 		0.0	1.0	showcase-token	29/04/21	ethereum	120000000.0	52	04
cere-network	$1,000,000	20x	Infastructure	 Binance 		0.0	1.0	cere-network	08/11/21	ethereum	10000000000.0	75	11
crowny	$145,000	34x	Blockchain Service	 Rarestone 	 Acheron 	0.0	1.0	crowny-token	23/04/21	solana	813097988.0	55	04
alphr	$150,000	13x	Trading and Investment			0.0	0.0	alphr	27/04/21	ethereum	10000000.0	50	04
orao-network	$850,000	3x	Blockchain Service			0.0	0.0	orao-network	03/05/21			61	05
hapi	$100,000	20x	Blockchain Service	 Hacken 		0.0	1.0	hapi	11/03/21	ethereum	691929.206667669	73	03
aluna-social	$300,000	18x	Trading	 DEXT Ventures 		0.0	1.0	aluna	15/03/21	ethereum	99788845.8145621	76	03
dafi-protocol	$150,000	62x	DeFi	 SL2 	 Acheron 	0.0	1.0	dafi-protocol	18/03/21	ethereum	2250000000.0	72	03
yield-protocol	$165,000	22x	DeFi	 Ex Network 		0.0	1.0	yield-protocol	06/03/21	ethereum	140661635.577524	77	03
xend-finance	$100,000	40x	DeFi	 NGC 		0.0	1.0	xend-finance	24/03/21	ethereum	200000000.0	65	03
vaiot	$250,000	36x	Infrastructure			0.0	1.0	vaiot	16/02/21	ethereum	400000000.0	95	02
my-neighbor-alice	$100,000	327x	GameFi	 Chromnia 		0.0	1.0	my-neighbor-alice	15/03/21	ethereum	100000000.0	76	03
seascape	$60,000	61x	Gaming	 LD Capital 		1.0	1.0	crowns	01/02/21	ethereum	10000000.0	77	02
dao-maker	$3,900,000	87x	Launchpad			0.0	0.0	dao-maker	09/02/21	ethereum	277524000.0	95	02
anrkey-x	$125,000	19x	DeFi			0.0	0.0	anrkey-x	18/12/20	ethereum	200000000.0	95	12
plotx	$250,000	8x	DeFi			0.0	0.0	plotx	14/10/20	ethereum	200000000.0	53	10
definer	$96,000	5x	DeFi			0.0	0.0	definer	12/10/20	ethereum	168000000.0	52	10
orion-protocol	$3,750,000	293x	DeFi			0.0	0.0	orion-protocol	16/07/20	ethereum	100000000.0	43	07
